name,port,date,rxb,txb,rxm,txm
el01gw02,1A_ETH_1,09/03/2016-19:30,1370324,1050752,1,1
el01gw02,1A_ETH_1,09/03/2016-19:45,1318295,1014472,1,0
el01gw02,1A_ETH_1,09/03/2016-20:00,1314225,1032303,1,0
el01gw02,1A_ETH_1,09/03/2016-20:15,1234226,957714,1,0
el01gw02,1A_ETH_1,09/03/2016-20:30,1157937,870709,1,0
el01gw02,1A_ETH_1,09/03/2016-20:45,1017692,765450,0,0
el01gw02,1A_ETH_1,09/03/2016-21:00,937932,755266,0,0
el01gw02,1A_ETH_1,09/03/2016-21:15,808142,689736,0,0
el01gw02,1A_ETH_1,09/03/2016-21:30,685326,592633,0,0
el01gw02,1A_ETH_1,09/03/2016-21:45,600262,538691,0,0
el01gw02,1A_ETH_1,09/03/2016-22:00,556207,525525,0,0
el01gw02,1A_ETH_1,09/03/2016-22:15,466642,415760,0,0
el01gw02,1A_ETH_1,09/03/2016-22:30,390062,362472,0,0
el01gw02,1A_ETH_1,09/03/2016-22:45,382235,358342,0,0
el01gw02,1A_ETH_1,09/03/2016-23:00,336191,315348,0,0
el01gw02,1A_ETH_1,09/03/2016-23:15,323357,305988,0,0
el01gw02,1A_ETH_1,09/03/2016-23:30,301833,285244,0,0
